time;created;uav;uav_position;flying_distance;visited_wt
1703094457010721;1703094457010710;uav2;[400, 770];0.0;0
1703094457109681;1703094457109669;uav2;[400, 770];0.0;0
1703094457207238;1703094457207220;uav2;[400, 770];0.0;0
1703094457298580;1703094457298571;uav2;[400, 770];0.0;0
1703094457400518;1703094457400490;uav2;[400, 770];0.0;0
1703094457501254;1703094457501211;uav2;[400, 770];0.0;0
1703094457599562;1703094457599551;uav2;[400, 770];0.0;0
1703094457706167;1703094457706158;uav2;[400, 770];0.0;0
1703094457799397;1703094457799386;uav2;[400, 770];0.0;0
1703094457900649;1703094457900578;uav2;[400, 770];0.0;0
1703094458000766;1703094458000734;uav2;[400, 770];0.0;0
1703094458100921;1703094458100892;uav2;[400, 770];0.0;0
1703094458201243;1703094458201109;uav2;[400, 770];0.0;0
1703094458299280;1703094458299269;uav2;[400, 770];0.0;0
1703094458400901;1703094458400872;uav2;[400, 770];0.0;0
1703094458499694;1703094458499679;uav2;[400, 770];0.0;0
1703094458600247;1703094458600218;uav2;[400, 770];0.0;0
1703094458699988;1703094458699954;uav2;[400, 770];0.0;0
1703094458799582;1703094458799564;uav2;[400, 770];0.0;0
1703094458900462;1703094458900376;uav2;[400, 770];0.0;0
1703094459000659;1703094459000632;uav2;[400, 770];0.0;0
1703094459099630;1703094459099614;uav2;[400, 770];0.0;0
1703094459200123;1703094459200095;uav2;[400, 770];0.0;0
1703094459299034;1703094459299023;uav2;[400, 770];0.0;0
1703094459403837;1703094459403820;uav2;[400, 770];0.0;0
1703094459499357;1703094459499341;uav2;[400, 770];0.0;0
1703094459599270;1703094459599254;uav2;[400, 770];0.0;0
1703094459699128;1703094459699113;uav2;[400, 770];0.0;0
1703094459800138;1703094459800111;uav2;[400, 770];0.0;0
1703094459901399;1703094459901380;uav2;[400, 770];0.0;0
1703094460000887;1703094460000858;uav2;[400, 770];0.0;0
1703094460101348;1703094460101329;uav2;[400, 770];0.0;0
1703094460199561;1703094460199542;uav2;[400, 770];0.0;0
1703094460300105;1703094460300086;uav2;[400, 770];0.0;0
1703094460400055;1703094460400035;uav2;[400, 770];0.0;0
1703094460498731;1703094460498721;uav2;[400, 770];0.0;0
1703094460599633;1703094460599618;uav2;[400, 770];0.0;0
1703094460699159;1703094460699144;uav2;[400, 770];0.0;0
1703094460802050;1703094460802021;uav2;[400, 770];0.0;0
1703094460900750;1703094460900633;uav2;[400, 770];0.0;0
1703094460998930;1703094460998919;uav2;[400, 770];0.0;0
1703094461101309;1703094461101295;uav2;[400, 770];0.0;0
1703094461199418;1703094461199396;uav2;[400, 770];0.0;0
1703094461299096;1703094461299083;uav2;[400, 770];0.0;0
1703094461399065;1703094461399050;uav2;[400, 770];0.0;0
1703094461499514;1703094461499496;uav2;[400, 770];0.0;0
1703094461599679;1703094461599660;uav2;[400, 770];0.0;0
1703094461698987;1703094461698975;uav2;[400, 770];0.0;0
1703094461799868;1703094461799845;uav2;[400, 770];0.0;0
1703094461900364;1703094461900341;uav2;[400, 770];0.0;0
1703094461999779;1703094461999755;uav2;[400, 770];0.0;0
1703094462099918;1703094462099896;uav2;[400, 770];0.0;0
1703094462199115;1703094462199106;uav2;[400, 770];0.0;0
1703094462299014;1703094462298968;uav2;[400, 770];0.0;0
1703094462399457;1703094462399436;uav2;[400, 770];0.0;0
1703094462499452;1703094462499437;uav2;[400, 770];0.0;0
1703094462598700;1703094462598690;uav2;[400, 770];0.0;0
1703094462699185;1703094462699173;uav2;[400, 770];0.0;0
1703094462798678;1703094462798666;uav2;[400, 770];0.0;0
1703094462898966;1703094462898952;uav2;[400, 770];0.0;0
1703094462999513;1703094462999492;uav2;[400, 770];0.0;0
1703094463100253;1703094463100221;uav2;[400, 770];0.0;0
1703094463200261;1703094463200241;uav2;[400, 770];0.0;0
1703094463299075;1703094463299062;uav2;[400, 770];0.0;0
1703094463399310;1703094463399277;uav2;[400, 770];0.0;0
1703094463500173;1703094463500145;uav2;[400, 770];0.0;0
1703094463599200;1703094463599187;uav2;[400, 770];0.0;0
1703094463698840;1703094463698828;uav2;[400, 770];0.0;0
1703094463799232;1703094463799214;uav2;[400, 770];0.0;0
1703094463898830;1703094463898820;uav2;[400, 770];0.0;0
1703094463999792;1703094463999763;uav2;[400, 770];0.0;0
1703094464100460;1703094464100432;uav2;[400, 770];0.0;0
1703094464199387;1703094464199372;uav2;[400, 770];0.0;0
1703094464299021;1703094464299006;uav2;[400, 770];0.0;0
1703094464398987;1703094464398972;uav2;[400, 770];0.0;0
1703094464499066;1703094464499051;uav2;[400, 770];0.0;0
1703094464598944;1703094464598929;uav2;[400, 770];0.0;0
1703094464699421;1703094464699400;uav2;[400, 770];0.0;0
1703094464799629;1703094464799607;uav2;[400, 770];0.0;0
1703094464899704;1703094464899684;uav2;[400, 770];0.0;0
1703094465000713;1703094465000686;uav2;[400, 770];0.0;0
1703094465099363;1703094465099353;uav2;[400, 770];0.0;0
1703094465200012;1703094465199959;uav2;[400, 770];0.0;0
1703094465299136;1703094465299125;uav2;[400, 770];0.0;0
1703094465399934;1703094465399888;uav2;[400, 770];0.0;0
1703094465499040;1703094465499027;uav2;[400, 770];0.0;0
1703094465610665;1703094465610655;uav2;[400, 770];0.0;0
1703094465704821;1703094465704813;uav2;[400, 770];0.0;0
1703094465798890;1703094465798877;uav2;[400, 770];0.0;0
1703094465900516;1703094465900489;uav2;[400, 770];0.0;0
1703094466001695;1703094466001657;uav2;[400, 770];0.0;0
1703094466099337;1703094466099326;uav2;[400, 770];0.0;0
1703094466199431;1703094466199412;uav2;[400, 770];0.0;0
1703094466298669;1703094466298658;uav2;[400, 770];0.0;0
1703094466399173;1703094466399157;uav2;[400, 770];0.0;0
1703094466500633;1703094466500546;uav2;[400, 770];0.0;0
1703094466599675;1703094466599659;uav2;[400, 770];0.0;0
1703094466699266;1703094466699252;uav2;[400, 770];0.0;0
1703094466804608;1703094466804595;uav2;[400, 770];0.0;0
1703094466899705;1703094466899685;uav2;[400, 770];0.0;0
1703094466999587;1703094466999570;uav2;[400, 770];0.0;0
1703094467098783;1703094467098774;uav2;[400, 770];0.0;0
1703094467198555;1703094467198545;uav2;[400, 770];0.0;0
1703094467298691;1703094467298654;uav2;[400, 770];0.0;0
1703094467398557;1703094467398549;uav2;[400, 770];0.0;0
1703094467500570;1703094467500539;uav2;[400, 770];0.0;0
1703094467600877;1703094467600850;uav2;[400, 770];0.0;0
1703094467699088;1703094467699078;uav2;[400, 770];0.0;0
1703094467798661;1703094467798652;uav2;[400, 770];0.0;0
1703094467898697;1703094467898684;uav2;[400, 770];0.0;0
1703094468000484;1703094468000452;uav2;[400, 770];0.0;0
1703094468101107;1703094468101079;uav2;[400, 770];0.0;0
1703094468201082;1703094468201062;uav2;[400, 770];0.0;0
1703094468298909;1703094468298900;uav2;[400, 770];0.0;0
1703094468404951;1703094468404917;uav2;[400, 770];0.0;0
1703094468501732;1703094468501712;uav2;[400, 770];0.0;0
1703094468603154;1703094468603121;uav2;[400, 770];0.0;0
1703094468700658;1703094468700636;uav2;[400, 770];0.0;0
1703094468798679;1703094468798670;uav2;[400, 770];0.0;0
1703094468898476;1703094468898466;uav2;[400, 770];0.0;0
1703094469006838;1703094469006827;uav2;[400, 770];0.0;0
1703094469100185;1703094469100157;uav2;[400, 770];0.0;0
1703094469200959;1703094469200770;uav2;[400, 770];0.0;0
1703094469300017;1703094469299995;uav2;[400, 770];0.0;0
1703094469400117;1703094469400096;uav2;[400, 770];0.0;0
1703094469499588;1703094469499570;uav2;[400, 770];0.0;0
1703094469599001;1703094469598990;uav2;[400, 770];0.0;0
1703094469701324;1703094469701296;uav2;[400, 770];0.0;0
1703094469802144;1703094469802116;uav2;[400, 770];0.0;0
1703094469906961;1703094469906942;uav2;[400, 770];0.0;0
1703094469999315;1703094469999301;uav2;[400, 770];0.0;0
1703094470100850;1703094470100822;uav2;[400, 770];0.0;0
1703094470199777;1703094470199762;uav2;[400, 770];0.0;0
1703094470299446;1703094470299426;uav2;[400, 770];0.0;0
1703094470399903;1703094470399883;uav2;[400, 770];0.0;0
1703094470499431;1703094470499409;uav2;[400, 770];0.0;0
1703094470601391;1703094470601354;uav2;[400, 770];0.0;0
1703094470699054;1703094470699045;uav2;[400, 770];0.0;0
1703094470800108;1703094470800078;uav2;[400, 770];0.0;0
1703094470899775;1703094470899755;uav2;[400, 770];0.0;0
1703094470999635;1703094470999609;uav2;[400, 770];0.0;0
1703094471099455;1703094471099436;uav2;[400, 770];0.0;0
1703094471199437;1703094471199417;uav2;[400, 770];0.0;0
1703094471300144;1703094471300116;uav2;[400, 770];0.0;0
1703094471399291;1703094471399275;uav2;[400, 770];0.0;0
1703094471499679;1703094471499661;uav2;[400, 770];0.0;0
1703094471599704;1703094471599689;uav2;[400, 770];0.0;0
1703094471701094;1703094471701069;uav2;[400, 770];0.0;0
1703094471799564;1703094471799548;uav2;[400, 770];0.0;0
1703094471898906;1703094471898893;uav2;[400, 770];0.0;0
1703094472000423;1703094472000395;uav2;[400, 770];0.0;0
1703094472102609;1703094472102590;uav2;[400, 770];0.0;0
1703094472199990;1703094472199942;uav2;[400, 770];0.0;0
1703094472299341;1703094472299330;uav2;[400, 770];0.0;0
1703094472401364;1703094472401337;uav2;[400, 770];0.0;0
1703094472500462;1703094472500435;uav2;[400, 770];0.0;0
1703094472600883;1703094472600856;uav2;[400, 770];0.0;0
1703094472698993;1703094472698982;uav2;[400, 770];0.0;0
1703094472799353;1703094472799336;uav2;[400, 770];0.0;0
1703094472900391;1703094472900352;uav2;[400, 770];0.0;0
1703094473001084;1703094473001055;uav2;[400, 770];0.0;0
1703094473100852;1703094473100824;uav2;[400, 770];0.0;0
1703094473200414;1703094473200387;uav2;[400, 770];0.0;0
1703094473299375;1703094473299362;uav2;[400, 770];0.0;0
1703094473399638;1703094473399616;uav2;[400, 770];0.0;0
1703094473500739;1703094473500552;uav2;[400, 770];0.0;0
1703094473599036;1703094473599027;uav2;[400, 770];0.0;0
1703094473700769;1703094473700733;uav2;[400, 770];0.0;0
1703094473799851;1703094473799839;uav2;[400, 770];0.0;0
1703094473899235;1703094473899217;uav2;[400, 770];0.0;0
1703094473999527;1703094473999508;uav2;[400, 770];0.0;0
1703094474099167;1703094474099155;uav2;[400, 770];0.0;0
1703094474199860;1703094474199840;uav2;[400, 770];0.0;0
1703094474299200;1703094474299186;uav2;[400, 770];0.0;0
1703094474398603;1703094474398569;uav2;[400, 770];0.0;0
1703094474498696;1703094474498684;uav2;[400, 770];0.0;0
