time;created;id;aircraft;position;vel;status
1703094487742123;1703094487742008;0xa4a39c7a;wt6;[1540, 770];0;OK
1703094487845377;1703094487845280;0xeb820e7c;wt6;[1540, 770];0;OK
1703094487946704;1703094487946571;0x1843e48b;wt6;[1540, 770];0;OK
1703094488042138;1703094488042048;0x33fb7ce3;wt6;[1540, 770];0;OK
1703094488142131;1703094488142008;0x627de3bf;wt6;[1540, 770];0;OK
1703094488242466;1703094488242323;0x209f33e5;wt6;[1540, 770];0;OK
1703094488343042;1703094488342869;0x583a4c46;wt6;[1540, 770];0;OK
1703094488442847;1703094488442560;0x1801466d;wt6;[1540, 770];0;OK
1703094488543549;1703094488543183;0x9bcff92e;wt6;[1540, 770];0;OK
1703094488642312;1703094488642199;0x49f49254;wt6;[1540, 770];0;OK
1703094488744547;1703094488743777;0x427e4c5d;wt6;[1540, 770];0;OK
1703094488843465;1703094488843325;0x1a574ec5;wt6;[1540, 770];0;OK
1703094488942997;1703094488942730;0x5e83ba68;wt6;[1540, 770];0;OK
1703094489045467;1703094489044985;0xe88f4a9f;wt6;[1540, 770];0;OK
1703094489149397;1703094489148929;0xcafe1aa1;wt6;[1540, 770];0;OK
1703094489245113;1703094489244768;0x18668571;wt6;[1540, 770];0;OK
1703094489343033;1703094489342865;0x54f3fdac;wt6;[1540, 770];0;OK
1703094489443476;1703094489443288;0x4c141e13;wt6;[1540, 770];0;OK
1703094489544501;1703094489544375;0xe1d06864;wt6;[1540, 770];0;OK
1703094489642384;1703094489642286;0xd732edd5;wt6;[1540, 770];0;OK
1703094489743112;1703094489742981;0x59153a55;wt6;[1540, 770];0;OK
1703094489843392;1703094489843207;0xf04f76b8;wt6;[1540, 770];0;OK
1703094489942781;1703094489942566;0x239118f0;wt6;[1540, 770];0;OK
1703094490045576;1703094490044650;0x88f8c35e;wt6;[1540, 770];0;OK
1703094490145597;1703094490145446;0x8fdb1c7b;wt6;[1540, 770];0;OK
1703094490242448;1703094490242321;0x7b0f74b3;wt6;[1540, 770];0;OK
1703094490342492;1703094490342364;0x1071481;wt6;[1540, 770];0;OK
1703094490442258;1703094490442149;0xf8b1f994;wt6;[1540, 770];0;OK
1703094490542600;1703094490542436;0x35896648;wt6;[1540, 770];0;OK
1703094490642267;1703094490642162;0x19b501e;wt6;[1540, 770];0;OK
1703094490743804;1703094490743570;0x18d0620a;wt6;[1540, 770];0;OK
1703094490845835;1703094490845668;0x31d7a4e7;wt6;[1540, 770];0;OK
1703094490945004;1703094490944852;0xe4eea63a;wt6;[1540, 770];0;OK
1703094491043475;1703094491043354;0x30cdc827;wt6;[1540, 770];0;OK
1703094491142436;1703094491142319;0x379b8c6c;wt6;[1540, 770];0;OK
1703094491244364;1703094491244145;0x8b381a69;wt6;[1540, 770];0;OK
1703094491343003;1703094491342900;0x38f05ccb;wt6;[1540, 770];0;OK
1703094491442493;1703094491442356;0x9ef3d1ef;wt6;[1540, 770];0;OK
1703094491545841;1703094491544908;0xf0328811;wt6;[1540, 770];0;OK
1703094491642975;1703094491642862;0x91c97477;wt6;[1540, 770];0;OK
1703094491742174;1703094491742065;0x3e99182;wt6;[1540, 770];0;OK
1703094491842739;1703094491842627;0x948073e9;wt6;[1540, 770];0;OK
1703094491952256;1703094491951941;0xaa8669e2;wt6;[1540, 770];0;OK
1703094492053016;1703094492052481;0xe5add715;wt6;[1540, 770];0;OK
1703094492146199;1703094492145761;0x88fa3cb8;wt6;[1540, 770];0;OK
1703094492245074;1703094492244753;0x47bfbbfe;wt6;[1540, 770];0;OK
1703094492343149;1703094492343026;0x6f1555b;wt6;[1540, 770];0;OK
1703094492442372;1703094492442244;0x24221841;wt6;[1540, 770];0;OK
1703094492542388;1703094492542266;0x500a7827;wt6;[1540, 770];0;OK
1703094492642279;1703094492642164;0xd7afa520;wt6;[1540, 770];0;OK
1703094492742475;1703094492742364;0xae32585b;wt6;[1540, 770];0;OK
1703094492842287;1703094492842174;0x450162cc;wt6;[1540, 770];0;OK
1703094492942216;1703094492942087;0x688dff04;wt6;[1540, 770];0;OK
1703094493042296;1703094493042105;0x65613094;wt6;[1540, 770];0;OK
1703094493142250;1703094493142130;0x9dd2c88a;wt6;[1540, 770];0;OK
1703094493244485;1703094493244232;0x266c38bb;wt6;[1540, 770];0;OK
1703094493343100;1703094493342975;0x63fa0e86;wt6;[1540, 770];0;OK
1703094493442161;1703094493442058;0xa4bbf65b;wt6;[1540, 770];0;OK
1703094493542740;1703094493542569;0x6cb46024;wt6;[1540, 770];0;OK
1703094493642992;1703094493642825;0x2525cb49;wt6;[1540, 770];0;OK
1703094493745182;1703094493744556;0x3150772a;wt6;[1540, 770];0;OK
1703094493843765;1703094493843628;0xbeb2bbd0;wt6;[1540, 770];0;OK
1703094493942862;1703094493942716;0x61fefa11;wt6;[1540, 770];0;OK
1703094494042941;1703094494042694;0x49b550e6;wt6;[1540, 770];0;OK
1703094494142594;1703094494142449;0x476dc19d;wt6;[1540, 770];0;OK
1703094494243138;1703094494242949;0x178d8f1b;wt6;[1540, 770];0;OK
1703094494342754;1703094494342605;0x167e02de;wt6;[1540, 770];0;OK
1703094494442652;1703094494442483;0xe798990a;wt6;[1540, 770];0;OK
1703094494542717;1703094494542579;0xc700ab3;wt6;[1540, 770];0;OK
1703094494642941;1703094494642477;0x574a502f;wt6;[1540, 770];0;OK
1703094494742688;1703094494742552;0xbcae18da;wt6;[1540, 770];0;OK
1703094494842785;1703094494842683;0x5b7dc210;wt6;[1540, 770];0;OK
1703094494943975;1703094494943812;0x8ef20ddf;wt6;[1540, 770];0;OK
1703094495042572;1703094495042475;0xa79433ef;wt6;[1540, 770];0;OK
1703094495142601;1703094495142436;0xfd7461cc;wt6;[1540, 770];0;OK
1703094495243847;1703094495243530;0x272d82cc;wt6;[1540, 770];0;OK
1703094495345125;1703094495344483;0x5ea14aab;wt6;[1540, 770];0;OK
1703094495445362;1703094495445234;0x93ae59e0;wt6;[1540, 770];0;OK
1703094495543620;1703094495543460;0xd6865c6c;wt6;[1540, 770];0;OK
1703094495646479;1703094495646205;0x85d2f519;wt6;[1540, 770];0;OK
1703094495744863;1703094495744441;0xb0764745;wt6;[1540, 770];0;OK
1703094495842683;1703094495842577;0xd3f949d;wt6;[1540, 770];0;OK
1703094495948203;1703094495946309;0xf8a958fa;wt6;[1540, 770];0;OK
1703094496042853;1703094496042672;0x4e1332d9;wt6;[1540, 770];0;OK
1703094496159548;1703094496159014;0x7ca20d7e;wt6;[1540, 770];0;OK
1703094496243320;1703094496243138;0xb69c5dd5;wt6;[1540, 770];0;OK
1703094496342856;1703094496342645;0x821da6b7;wt6;[1540, 770];0;OK
1703094496442760;1703094496442613;0xd6a0d04a;wt6;[1540, 770];0;OK
1703094496546546;1703094496546310;0xd860c702;wt6;[1540, 770];0;OK
1703094496644223;1703094496644041;0xb06af833;wt6;[1540, 770];0;OK
1703094496742645;1703094496742502;0x1ba43d5c;wt6;[1540, 770];0;OK
1703094496842933;1703094496842779;0xeb1c019c;wt6;[1540, 770];0;OK
