time;created;id;aircraft;position;vel;status
1703095423874352;1703095423873993;0x55bb357a;wt2;[770, 0];0;OK
1703095423975097;1703095423975015;0x9e1f268d;wt2;[770, 0];0;OK
1703095424077130;1703095424076912;0x42e5b445;wt2;[770, 0];0;OK
1703095424179082;1703095424179015;0x2b550ff3;wt2;[770, 0];0;OK
1703095424276987;1703095424276513;0xf002b4f5;wt2;[770, 0];0;OK
1703095424374151;1703095424373973;0x8275414;wt2;[770, 0];0;OK
1703095424475289;1703095424475185;0xba43873;wt2;[770, 0];0;OK
1703095424588513;1703095424588330;0x9361a402;wt2;[770, 0];0;OK
1703095424691169;1703095424689952;0xc51df1d5;wt2;[770, 0];0;OK
1703095424783700;1703095424783360;0x89a9e28e;wt2;[770, 0];0;OK
1703095424879319;1703095424878165;0x8e3c1fe0;wt2;[770, 0];0;OK
1703095424978930;1703095424978695;0x24623cd2;wt2;[770, 0];0;OK
1703095425075670;1703095425075495;0x3019570e;wt2;[770, 0];0;OK
1703095425177467;1703095425177190;0x5a186313;wt2;[770, 0];0;OK
1703095425276755;1703095425276467;0x5ecde476;wt2;[770, 0];0;OK
1703095425374271;1703095425374128;0xc64ea979;wt2;[770, 0];0;OK
1703095425474789;1703095425474608;0xb2d6f34f;wt2;[770, 0];0;OK
1703095425578299;1703095425578076;0xbf8e3f48;wt2;[770, 0];0;OK
1703095425674397;1703095425674296;0xcba2263d;wt2;[770, 0];0;OK
1703095425790917;1703095425790751;0xbb865c3a;wt2;[770, 0];0;OK
1703095425877339;1703095425877234;0x51095193;wt2;[770, 0];0;OK
1703095425978710;1703095425978590;0x580edbd5;wt2;[770, 0];0;OK
1703095426077464;1703095426077263;0x4f0e1645;wt2;[770, 0];0;OK
1703095426178602;1703095426178518;0x24e08c01;wt2;[770, 0];0;OK
1703095426278550;1703095426278455;0xcb05157a;wt2;[770, 0];0;OK
1703095426375888;1703095426375755;0x326ea709;wt2;[770, 0];0;OK
1703095426478779;1703095426478587;0xb49a35f3;wt2;[770, 0];0;OK
1703095426577628;1703095426577315;0x742ca2d3;wt2;[770, 0];0;OK
1703095426684546;1703095426684329;0xea5ebb7d;wt2;[770, 0];0;OK
1703095426773372;1703095426773249;0x8d4ddf1;wt2;[770, 0];0;OK
1703095426874229;1703095426874123;0xce573627;wt2;[770, 0];0;OK
1703095427000241;1703095426999881;0xd31b31b1;wt2;[770, 0];0;OK
1703095427083659;1703095427083515;0xabb751f1;wt2;[770, 0];0;OK
1703095427174377;1703095427174206;0x4086023a;wt2;[770, 0];0;OK
1703095427273732;1703095427273536;0xc330277a;wt2;[770, 0];0;OK
1703095427376932;1703095427376696;0xca373a3a;wt2;[770, 0];0;OK
1703095427492459;1703095427492175;0x304fef0c;wt2;[770, 0];0;OK
1703095427579923;1703095427579721;0x11f56277;wt2;[770, 0];0;OK
1703095427674992;1703095427674368;0x3288c420;wt2;[770, 0];0;OK
1703095427777051;1703095427776934;0xcbf137c0;wt2;[770, 0];0;OK
1703095427883743;1703095427883528;0x62d8aac5;wt2;[770, 0];0;OK
1703095427973720;1703095427973544;0x88549010;wt2;[770, 0];0;OK
1703095428073440;1703095428073290;0x73da5b00;wt2;[770, 0];0;OK
1703095428174171;1703095428173936;0x4f29d8de;wt2;[770, 0];0;OK
1703095428282764;1703095428282465;0x582c6eb2;wt2;[770, 0];0;OK
1703095428373994;1703095428373822;0xa0eb7a4a;wt2;[770, 0];0;OK
1703095428473737;1703095428473557;0x7faf83f1;wt2;[770, 0];0;OK
1703095428580907;1703095428580726;0xa4fa962c;wt2;[770, 0];0;OK
1703095428684467;1703095428684306;0xee7237fd;wt2;[770, 0];0;OK
1703095428799745;1703095428799552;0x77c1bc8f;wt2;[770, 0];0;OK
1703095428878822;1703095428878638;0x151e4156;wt2;[770, 0];0;OK
1703095428976923;1703095428976745;0xf181d7f;wt2;[770, 0];0;OK
1703095429078650;1703095429078491;0xb6801d65;wt2;[770, 0];0;OK
1703095429181207;1703095429181126;0xb987eac9;wt2;[770, 0];0;OK
1703095429279932;1703095429279258;0xfb23779b;wt2;[770, 0];0;OK
1703095429411943;1703095429411713;0x5b268dc1;wt2;[770, 0];0;OK
1703095429481897;1703095429481733;0x8a2af025;wt2;[770, 0];0;OK
1703095429581203;1703095429579908;0x31a07e9e;wt2;[770, 0];0;OK
1703095429679434;1703095429679314;0xf2a1c248;wt2;[770, 0];0;OK
1703095429785285;1703095429785195;0xa521ffee;wt2;[770, 0];0;OK
1703095429880488;1703095429880360;0x19825bc3;wt2;[770, 0];0;OK
1703095429975504;1703095429975357;0x274bcf1f;wt2;[770, 0];0;OK
1703095430078596;1703095430078432;0xde485d66;wt2;[770, 0];0;OK
1703095430175666;1703095430175449;0xc2b8bfd9;wt2;[770, 0];0;OK
1703095430274788;1703095430274492;0xd453bd19;wt2;[770, 0];0;OK
1703095430395608;1703095430393498;0xea1fcedc;wt2;[770, 0];0;OK
