time;created;uav;uav_position;flying_distance;visited_wt
1703096265574690;1703096265574671;uav3;(1248.567584593734, 760.0463197616614);4.186227346661986;0
1703096265672897;1703096265672887;uav3;(1248.567584593734, 760.0463197616614);4.186227346661986;0
1703096265775510;1703096265775473;uav3;(1248.9351461344993, 757.9857316506515);6.2793410199929784;0
1703096265872198;1703096265872186;uav3;(1248.9351461344993, 757.9857316506515);6.2793410199929784;0
1703096265975175;1703096265975067;uav3;(1249.3027076752646, 755.9251435396416);8.372454693323972;0
1703096266072964;1703096266072946;uav3;(1249.3027076752646, 755.9251435396416);8.372454693323972;0
1703096266176147;1703096266176098;uav3;(1249.67026921603, 753.8645554286317);10.465568366654965;0
1703096266275211;1703096266275184;uav3;(1249.67026921603, 753.8645554286317);10.465568366654965;0
1703096266372283;1703096266372270;uav3;(1250.0378307567953, 751.8039673176218);12.558682039985959;0
1703096266475496;1703096266475466;uav3;(1250.0378307567953, 751.8039673176218);12.558682039985959;0
1703096266573346;1703096266573327;uav3;(1250.4053922975606, 749.7433792066118);14.651795713316952;0
1703096266671814;1703096266671801;uav3;(1250.4053922975606, 749.7433792066118);14.651795713316952;0
1703096266772149;1703096266772134;uav3;(1250.772953838326, 747.6827910956019);16.744909386647944;0
1703096266872099;1703096266872084;uav3;(1250.772953838326, 747.6827910956019);16.744909386647944;0
1703096266976560;1703096266976520;uav3;(1251.1405153790913, 745.622202984592);18.838023059978937;0
1703096267072051;1703096267072042;uav3;(1251.1405153790913, 745.622202984592);18.838023059978937;0
1703096267173152;1703096267173130;uav3;(1251.5080769198566, 743.5616148735821);20.93113673330993;0
1703096267271626;1703096267271615;uav3;(1251.5080769198566, 743.5616148735821);20.93113673330993;0
1703096267375177;1703096267375146;uav3;(1251.875638460622, 741.5010267625722);23.024250406640924;0
1703096267476333;1703096267476291;uav3;(1251.875638460622, 741.5010267625722);23.024250406640924;0
1703096267571947;1703096267571936;uav3;(1252.2432000013873, 739.4404386515623);25.117364079971917;0
1703096267673346;1703096267673324;uav3;(1252.2432000013873, 739.4404386515623);25.117364079971917;0
1703096267772007;1703096267771997;uav3;(1252.6107615421527, 737.3798505405524);27.21047775330291;0
1703096267874880;1703096267874842;uav3;(1252.6107615421527, 737.3798505405524);27.21047775330291;0
1703096267973192;1703096267973178;uav3;(1252.978323082918, 735.3192624295425);29.303591426633904;0
1703096268075772;1703096268075740;uav3;(1252.978323082918, 735.3192624295425);29.303591426633904;0
1703096268177460;1703096268177425;uav3;(1253.3458846236833, 733.2586743185326);31.396705099964898;0
1703096268271886;1703096268271839;uav3;(1253.3458846236833, 733.2586743185326);31.396705099964898;0
1703096268371838;1703096268371819;uav3;(1253.7134461644487, 731.1980862075227);33.48981877329589;0
1703096268474401;1703096268474364;uav3;(1253.7134461644487, 731.1980862075227);33.48981877329589;0
1703096268572249;1703096268572238;uav3;(1254.081007705214, 729.1374980965128);35.58293244662688;0
1703096268674810;1703096268674776;uav3;(1254.081007705214, 729.1374980965128);35.58293244662688;0
1703096268771980;1703096268771968;uav3;(1254.4485692459793, 727.0769099855029);37.67604611995787;0
1703096268873494;1703096268873463;uav3;(1254.4485692459793, 727.0769099855029);37.67604611995787;0
1703096268974489;1703096268974460;uav3;(1254.8161307867447, 725.016321874493);39.76915979328886;0
1703096269071828;1703096269071818;uav3;(1254.8161307867447, 725.016321874493);39.76915979328886;0
