time;created;id;aircraft;position;vel;status
1703096295815918;1703096295814070;0xc59a3f61;wt2;[770, 0];0;OK
1703096295913394;1703096295913289;0xc3a72b1;wt2;[770, 0];0;OK
1703096296013865;1703096296013646;0xb0bdcd10;wt2;[770, 0];0;OK
1703096296117760;1703096296117463;0xa9f9bd6e;wt2;[770, 0];0;OK
1703096296224323;1703096296224205;0x55a618ba;wt2;[770, 0];0;OK
1703096296314888;1703096296314767;0xb56b9eb0;wt2;[770, 0];0;OK
1703096296413236;1703096296413132;0x65efdaa2;wt2;[770, 0];0;OK
1703096296512950;1703096296512836;0xf3c30e0e;wt2;[770, 0];0;OK
1703096296613230;1703096296613099;0x7c6e788e;wt2;[770, 0];0;OK
1703096296713568;1703096296713449;0x9059135;wt2;[770, 0];0;OK
1703096296814472;1703096296813923;0xfd0650e8;wt2;[770, 0];0;OK
1703096296914276;1703096296914043;0x785b3f07;wt2;[770, 0];0;OK
1703096297013640;1703096297013390;0xed3a7015;wt2;[770, 0];0;OK
1703096297113423;1703096297113288;0x75343dee;wt2;[770, 0];0;OK
1703096297213460;1703096297213341;0xa3f6591e;wt2;[770, 0];0;OK
1703096297313339;1703096297313214;0x327ca675;wt2;[770, 0];0;OK
1703096297418781;1703096297418119;0xc5e9ea66;wt2;[770, 0];0;OK
1703096297513904;1703096297513751;0xa1d4e246;wt2;[770, 0];0;OK
1703096297613593;1703096297613425;0x6a6a0a04;wt2;[770, 0];0;OK
1703096297714185;1703096297713934;0x8fae4fd2;wt2;[770, 0];0;OK
1703096297814868;1703096297814650;0x15ed1b06;wt2;[770, 0];0;OK
1703096297916457;1703096297915959;0xb80c7f8b;wt2;[770, 0];0;OK
1703096298018777;1703096298018016;0x18222801;wt2;[770, 0];0;OK
1703096298114094;1703096298113907;0xc61dfb89;wt2;[770, 0];0;OK
1703096298217381;1703096298216495;0x8c64f0b5;wt2;[770, 0];0;OK
1703096298313919;1703096298313792;0xb24e6b02;wt2;[770, 0];0;OK
1703096298414222;1703096298413925;0xb28ba220;wt2;[770, 0];0;OK
1703096298513288;1703096298513194;0xafea671e;wt2;[770, 0];0;OK
1703096298614009;1703096298613764;0x312001ed;wt2;[770, 0];0;OK
1703096298714292;1703096298714064;0x88c90f2e;wt2;[770, 0];0;OK
1703096298814441;1703096298814121;0x3a4c9cf3;wt2;[770, 0];0;OK
1703096298914365;1703096298914167;0xbad05506;wt2;[770, 0];0;OK
1703096299013849;1703096299013693;0x6bd49760;wt2;[770, 0];0;OK
1703096299113928;1703096299113769;0xff735a5d;wt2;[770, 0];0;OK
1703096299213376;1703096299213273;0xe44429a4;wt2;[770, 0];0;OK
1703096299313250;1703096299313123;0xa9973e6b;wt2;[770, 0];0;OK
1703096299414268;1703096299414000;0x5c314849;wt2;[770, 0];0;OK
1703096299513859;1703096299513669;0x44e71c5;wt2;[770, 0];0;OK
1703096299614127;1703096299613897;0x4fe3562b;wt2;[770, 0];0;OK
1703096299713321;1703096299713233;0x11bef1c;wt2;[770, 0];0;OK
